Comment,Label
"Người ta thường nói mỗi giai điệu đều gắn liền mới mỗi ký ức, giai điệu ấy cất lên cũng là lúc cảm xúc về một thời đã qua lại quay về, mình cũng có thứ cảm xúc ấy khi nghe bài này, môi sáng mình đều dậy sớm và bật bài này, chuẩn bị mọi thứ để đi học, lúc ấy vẫng vui vẻ vừa nhẩy vừa hát theo từng giai điệu, nhưng sao bây giờ mỗi lần nghe mình lại thấy lâng lâng nhớ nhung thứ cảm xúc mà có lẽ sẽ không còn quay lại ấy, tuổi mình còn vô tư chẳng có sức nặng của cuộc sống, cảm ơn nhóm đã gắn liền với ""cảm xúc"" của mình và nhiều người khác ❤",Good
bao nhiêu năm r vẫn thích như ngày đầu nghe v,Good
"Đây là bài hát cuối mình nghe ở cuối show tại Sài Gòn, .. đầy cảm xúc, bài hát này bạn gái mình rất thích, khi giai điệu nó vừa lên cô ấy vui lắm, lúc đó mình đã nổi da gà luôn , đứng dậy, nhảy theo mọi người ^^~, đó cũng là lần đầu tiên mình xem show diễn của Cá Hồi Hoang và đó cũng là lần cuối cùng
.. Good luck guys! Mãi nhớ!",Good
Cám ơn các anh,Good
"Cảm ơn Cá Hồi Hoang, biết đến nhóm vào mùa World Cup 2018, đến giờ cũng 5 năm rồi.",Good
Sẽ mãi nhớ các anh rất nhiều. Cá Hồi Hoang sẽ luôn trong tim mình ,Good
"Chậc, chắc phải chuẩn bị khăn giấy hôm đi concert. Bình thường nghe 5AM đã luôn thấy lòng mình thổn thức, và mình nghĩ mình sẽ bật khóc trong khoảnh khắc mình ở show, nhận ra mình đang nghe live 5AM lần đầu tiên và cũng là lần sau cuối. 
Cảm ơn các anh vì những giai điệu, những rung cảm, những khoảnh khắc và những sự ủi an.",Good
"Bây giờ mới là lúc mình ngồi tua lại những gì đã qua từ khi mình bắt đầu đu nhạc Cá. Cũng 5 năm trôi qua rồi, với bao kỷ niệm của mình gắn liền với nhạc Cá, cũng là những lần đi tìm vé fx, Hội muốn lòi mắt ra, và cũng là những lần đề xuất mời Cá về cho concert của chúng mình nhưng không thành công vì Covid, hay những lần lỡ hẹn,.... còn vô vàn những thứ linh ta linh tinh khác nữa đã trở nên thật đẹp biết bao. Mình thực sự mừng vì chúng ta còn ngồi đây để nhìn lại chặng đường đã qua, tuor cuối cùng mình cũng đã lỡ vì quá nhiều thứ vây lấy mình lúc này, nhưng ít nhất vẫn còn những track của Cá ở đây với mình. Cảm ơn CHH vì chặng đường đã qua, chúc anh Thành, anh Ming sẽ thành công hơn trên con đường sắp tới.",Good
Tạm biệt và cảm ơn Cá Hồi Hoang.,Good
"cảm ơn CHH đã đem đến giai điệu này, từng giây phút âm thanh của bài hát cất lên luôn làm mình luôn bồi hồi đến lạ. hẹn gặp CHH ở một hành trình khác.",Good
"""Tầng thượng 102"" là bài hát ấn tượng nhất khi lần đầu mình biết đến band qua show Không cay không về
""5am"" là bài mình replay liên tục và nghe live thật sự cháy
""Có thể"" làm mình nhớ lại đêm giao thừa mưa bão đứng chờ ở quán cafe để kịp về nhà đón năm mới
""Bandamusical"" là bài hát để lại nhiều hoài niệm
Và còn rất nhiều bài hát nữa, Cá hồi hoang là cái gì đấy mãi mãi, trong mình. Cảm ơn band rất nhiều. Thật vui như lúc ban đầu ta gặp nhau...",Good
"Bài hát của nhóm mà mình yêu thích nhất từ trước đến giờ, nhạc của CHH đã chữa lành cho mình rất nhiều, chúc các anh thành công trên con đường mà mình chọn.❤",Good
"cảm ơn và tạm biệt CHH, mong một ngày không xa sẽ trở lại",Good
"Bài hát đầu tiên mình nghe của CHH, chưa bao giờ ngừng cảm xúc khi nghe bài này, và chưa từng ngừng khóc khi nghe live, he he cảm ơn CHH vì tuổi trẻ này.",Good
Cảm ơn Cá Hồi Hoang vì một chặng đường đã gắn bó cùng mình. Chúc các anh thành công trên con đường mà mình đã chọn lựa,Good
Em thật sự thích cách các anh nhún nhảy khi được đắm chìm trong âm nhạc của mình,Good
a vocal cute ghê :)))),Good
Bài này hay thật. Hồi đó nghe là mún hát theo vãi lun. Nhưng hồi đó kiểu style đồ bị chê quá. Chớ nhạc bài ni ok,Good
"Biết đến CHH cũng qua bài này, nhưng chặng đường về sau không còn anh Đạt nữa, thực sự rất cám ơn anh...",Good
Bài này đỉnh của chop trong sự nghiệp ca hát của ChiPu,Good
sao mình thấy hay nhỉ,Good
"""Tự Do"" với ""5AM"" có kiểu làm MV giống nhau khác tông màu thôi, nhìn cũng hay :D",Good
Đỉnh của đỉnh,Good
"đây là một kiệt tác của âm nhạc tôi rất thích nó , nó mang lại sự vui vẻ tích cực của một buổi sáng . Nó chỉ là cảm nhận riêng của tôi....nó thật sự rất tuyệt",Good
Bài này nghiền từ lúc mới ra mắt :)))),Good
Quá hay Chi Pu ơi chúc mừng chị ❤️ lun theo doi du an sắp tới của chị 💕 Cố lên PuPu,Good
"Yêu từ lần nghe đầu tiên, hay thật sự",Good
nghe đi nghe lại bao lần vẫn thấy dễ vào dễ thấm lời bài hát.,Good
Nhạc hay quá,Good
chuông báo thức tuyệt vời,Good
Đến giờ vẫn còn nghe.,Good
"Công nhận xem những MV âm nhạc của ChiPu mình thấy ChiPu có tư duy xây dựng MV rất mới mẻ và lôi cuốn, vô cùng thông minh và chuyên nghiệp, đặc biệt là rất biết cách vận dụng thế mạnh của bản thân là nhảy và trình diễn sân khấu 💓 I love you so much",Good
Âm nhạc văn minh quá,Good
Hic nhạc của Chi Pu mỗi lần nghe lại lại thấy rất xúc động sao hay đến vậy ạ... như đi trước thời đại vậy,Good
rất hay,Good
ê bài này hay phết đấy=)),Good
Khúc cuối nhảy đã quá trời,Good
rất hoàn hảo,Good
bài hát đẹp ! nice song,Good
"Mất 5 năm để quay lại đây bình luận =))) bài hát đỉnh vkl ra, chặt đẹp khối bài bây giờ",Good
:))))nghe cuốn,Good
Nghe phê thật,Good
Bao năm vẫn nằm top 3 bài hay nhất của Chi Pu trong lòng mình cùng với Chỉ ta biết thôi và Mời anh vào tim em,Good
"Bài hát này làm mình nhớ những ngày vẫn còn ở trọ trên thành phố. Trong một buổi tối xấu trời mình chợt nhớ nhà đến buốt, cũng vội ngồi dậy rồi lọ mọ đi từ căn gác xếp bước xuống đất, lảo đảo tìm chìa khoá xe, rồi cả ví tiền và đồng hồ nữa. Chạy xe về đến nhà là vừa đúng 4 giờ 59 phút. Cảm ơn Cá Hồi Hoang.",Good
Dù mọi người có nói j mình vẫn thấy nhạc ChiPu nghe hay :))),Good
Bài hát này cute quá ạ. Mà tới giờ em mới biết :((((( nhạc chill nghe đã tai dã man :333. Các anh thật tuyệttttt,Good
"quá hay,quá xuất xắc",Good
Giờ mới biết bài hát hay như này 🥺,Good
Bh mình mới nghe bài hát hay thế này nhỉ,Good
"Đỉnh cao của loại âm nhạc gì đây, tuyệt vời",Good
"mình bắt đầu nghe nhạc của band vì thầm thương một người là fan cứng của band. dù giờ chắc em ấy đã có hạnh phúc của bản thân, nhưng mình vẫn muốn cảm ơn em thật nhiều vì đã đưa mình tới Cá Hồi Hoang ^^ nhạc hay thế này ai chơi lại đây hảaaaaa",Good
Nhạc quá hay,Good
"khúc guitar dạo đầu nghe thật thích quá, cám ơn CHH nhé!",Good
Nhạc hay vãi,Good
Âm nhạc sôi nổi,Good
nghe lại vẫn chill,Good
Anh hát hay ... Và phong cách trình diễn tự nhiên ... Rất thích ...,Good
yêu từ lần nghe đầu,Good
hay,Good
Mình rất thích nhạc của Cá Hồi Hoang. Nó đem lại cho mình cái vibe của nhưng năm 90s 2000s...,Good
"Nghe lần 1 thấy lạ, nghe nhiều lần thấy hay, nghe nhiều lần nữa thấy nghiện 
Nhạc của Cá Hồi Hoang rất sôi nổi, nhiều suy tư, tự do & cô đơn  
Cám ơn các bạn đã mang phong cách âm nhạc này đến với mọi người. Nghe nhạc của các bạn mình thấy rất vui và biết ơn",Good
"Nghe bài này trong một tiệm quần áo, phải quay qua hỏi bạn nhân viên bài này tên gì. Thích dễ sợ",Good
vô tình phát hiện ngày nào cũng nghe luôn.,Good
Vẫn hay như ngày nào !!!,Good
Nhạc rất hay! Cám ơn!,Good
thích 2 đánh guitar điện,Good
haha a Ming quẩy sung quá,Good
"Chuyên Thăng Long - Đà Lạt
Tự hào vãiiiii 😊😊",Good
Bài này hay cực aaaaaaa . I luv Cá Hồi Hoang,Good
Nghe chục lần cứ phải thích bài này nhất ạ!,Good
Hay wa may anh uiii,Good
bài này Bass hay quá ! Nghe quoài vẫn thích Bass nhất ! Tất nhiên là 3 bạn còn lại cũng rất hay :),Good
mình dần dần nghiện nó rồi và cả TT102 nữa. Thực sự rất tuyệt.,Good
hay quá  zo zo zo zo,Good
quá mệt mỏi cuộc sống hiện tại muốn rời xa khỏi cuộc sống rộn nhịp này về với cuộc sống tự do không suy nghĩ về tương lai.Chỉ muốn một bình yên với cốc cà phê sáng ngắm trời ngắm đất sau khi thức dậy.Tận hưởng những cái lạnh vui đùa cùng chú chó và hoà mình vào những bài hát mà mình thực sự thích .PEACE,Good
Cảm ơn Band Cá Hồi Hoang đã tặng mình ca khúc này đúng vào ngày sinh nhật ! cảm ơn các bạn :D,Good
nhạc dạo chất quá,Good
Bài hát cuốn nhất đối với mình của CHH,Good
Nghe hay quá,Good
nhìn hai ông đánh đàn diễn ngầu vl,Good
Chill quá,Good
hay quá luôn,Good
Thứ âm nhạc của những kẻ mộng mơ! Càng nghe càng thích càng nghe càng nghiện!!!,Good
hay qua anh oi huhuhuhuhu,Good
"Nghe nhạc của Cá Hồi Hoang t hay bị mếu ấy, cảm xúc dâng trào xúc động 🖤",Good
"được một em trai đáng yêu giới thiệu và mình đã mê Cá Hồi Hoang luôn r, huhu",Good
"bài hát mình thích nhất của nhóm, tiến lên các chàng trai!",Good
nghiền bản này vl,Good
"hay quá, nghe phong cách này rất mới lạ. Ủng hộ band",Good
Rất thích âm nhạc của các bạn rất đặc biệt và cuốn hút 🤟,Good
"sao giờ tui mới biết đến band này hả trời, quá độc đáo",Good
Giờ mới nghe hay quá di,Good
guitar đánh hay quá,Good
Hay vl,Good
"nhạc của Cá Hồi Hoang là tiêu chuẩn của ""ca từ đẹp đẽ""",Good
Xuất sắc!!,Good
"1 buổi sáng thức dậy ở ĐL hít 1 hơi, bật bài nhạc của CHH làm điếu cần! Ôi nhẹ nhàng!",Good
Đù mé nghiện vc,Good
hay hay hay,Good
Tự nhiên 5 giờ sáng nghe đc bài này :)) nghe phát nghiện luôn,Good
Hay quá!,Good
Hay qua anh oi,Good
chill vãi,Good
Thích âm nhạc của cá hồi hoang band quá,Good
giai điệu của các anh đã cuốn lấy tâm hồn em rồi <3,Good
"Thật sự rất mong đợi các sản phẩm âm nhạc tiếp theo của các anh, các anh thật tuyệt.",Good
"bài này nghe riết cái ghiền luôn, sáng nào cũng nghe 1 lần rồi mới chịu làm việc",Good
"Tình cờ đc spotify quảng cáo mấy lần rồi,không ngờ nghe ấn tượng ghê. CHH toàn bài hay không",Good
Hay lắm Cá Hồi ơi!,Good
"Mình mê nhạc rock đã rất lâu rồi. Cái khiến mình yêu thích ở một rockband thường không phải là ca từ mà là tiếng guitar, bass và trống. Có thể nói các bạn làm rất tốt! CHH là một trong số ít những band Việt mà mình thích nghe và mình đặc biệt ấn tượng với lead guitarist của nhóm. Rất hay.",Good
xuất sắc,Good
Tôi thích bài hát này rất nhiều,Good
Chúc mừng mn đạt 1 củ view nha mấy anh,Good
Chúc mừng MV đạt 1 TRIỆU view !!!,Good
1 triệu rồi. Chúc mừng các anh ^^,Good
Hay lắm các anh ạ💓,Good
hay quá <3,Good
Cảm ơn các anh rất nhiều,Good
Ban nhạc Việt chất và khác thường. Tôi thích điều này ở ban nhạc không đi thu một xu hướng thịnh hành nào.,Good
Phong cách âm nhạc này lâu lắm rồi mới gặp,Good
trời đất ơii hay quá,Good
Nhạc gây nghiện...!!!,Good
hay vãiii,Good
Hay vkl :v,Good
Thật thú vị,Good
bài này thấy hay nhất từ trước tới giờ của Cá Hồi Hoang,Good
Thích nhạc của band này ghê gớm :))),Good
Nhạc mấy a quá chất ạ,Good
"không ngờ những chàng trai mộng mơ từ Đà Lạt lại làm ra giai điệu tuyệt vời như thế này. Cảm ơn CHH , your music so sweetly!",Good
"nghe nhạc hay quá, kiểu bị nghiện luôn",Good
"giờ mới biết đến cá hồi hoang qua bài tầng thượng, thích giọng của ông này, với cách phối nhạc của team",Good
Ông minh có con gibson xịn thế,Good
Hay quá <3,Good
"Hay quá. Nghe phê phê, mình thích bài này nhất trong album nè 🤤🤤🤤",Good
Bài hát chất nhất t từng nghe :>,Good
Hay vãi nhái. Hehe,Good
Dễ thương,Good
"Wow, nghe cuốn nhỉ :X",Good
Bài này hay lắm mấy ông ơi <3,Good
hay quá huhu,Good
"Chết rồi, yêu nhóm mất rồi.",Good
càng nghe càng nghiện,Good
Quá hay,Good
Sẽ luôn ủng hộ các anh ^^,Good
Cực phẩm,Good
hay vãiiii,Good
Hay quá <3,Good
Tuyet voi,Good
Nghiện nhóm nhạc này rồi,Good
"Hay lắm , nghe được bài nhạc của nhóm từ tháng 3 năm.ngoái trong chuyến bay của vietnam el và theo dõi đến giờ",Good
thích beat bài này dã man :3 lại hóng hơp âm :)),Good
oh wow. nhac hay qua man,Good
"bài nào của các a cũng hay, hu hu T.T",Good
Cảm ơn các anh vì đã sáng tác một bài hát tuyệt thế này,Good
Thích intro dã man luôn <3,Good
mọi thứ đều tuyệt vời !!,Good
"Bài hát đáng yêu vch trời ơiiii, màu mv đẹp vãi, mà mấy ông trong mv này cũng siêu bảnh luôn 😍😍😍",Good
"Bài này hay thực sự, mà thực sự là bài nào của Cá Hồi Hoang cũng hay",Good
"Giai điệu rất hay, nội dung rất thú vị đúng chất cá hồi hoang . So Nice !!!",Good
Nghiện sau 3 lần nghe =)),Good
Nhạc vang lên là ko thể ngồi yên đc....Quẩy lên,Good
nghe hay ghê ta!!!,Good
I love u mãi mãi mãi mãi❤️❤️❤️❤️❤️Da besttttttttt😘😘😘😘😘😘😘,Good
Mình rất thích phong cách âm nhạc của nhóm <3,Good
"Cá Hồi Hoang là ban nhạc Việt Nam không thể ra một bài hát tồi. 
Bài nào cũng hay các bạn ơi",Good
Nhạc của Cá Hồi Hoang luôn mang đến cho mình một cảm xúc đặc biệt,Good
Tuyệt vời 😚,Good
nay đẹp trai thế,Good
<3 nhất,Good
đỉnh cao :'(,Good
hay vl,Good
"I love you, CÁ HỒI HOANG",Good
"Nhạc nó lại đơn giản thế, hay thế",Good
TT huhu bài này hay quá ạaaaa,Good
cảm ơn,Good
hay quáaaaaa,Good
Quá hay,Good
Hay quá !!!!,Good
Điệu nhảy quốc dân:))))),Good
"Rất tiến bộ, cố lên nhé!",Good
"Hay lắm, Rất thích sự lựa chọn thông minh  mỗi lần xuất hiện là khác biệt của Cô gái và ê kíp. Giữ vững phong độ và phát huy hơn nữa nhé Cô Gái.",Good
"nhạc nhộn hơn tí là cái mv này best luôn rồi, chất vcl",Good
không hâm mộ chipu nhưng thấy bài này hay phết đấy chứ,Good
Hay quá hay :vvvv,Good
Giai điệu hay đó chứ! ❤️,Good
Mv này sáng tạo đó chứ,Good
Yêu chị mãi yêu chị,Good
Có ai thấy hay giống mình ko vậy,Good
Chất hơn rồi,Good
"Nói công bằng MV của chi pu về mặt hình ảnh lẫn vũ đạo điều chất , đẹp và dễ gây nghiện. Nhạc thì khỏi chê gây ám ảnh quá luôn. Còn ai chê mà cứ vào nghe đi nghe lại còn đi share mà kèm lời chê cộng cover các kiểu là đủ hiểu sự thành công của MV rồi.",Good
thích cái vũ đạo,Good
Lời nhạc khá hay 😃,Good
"Chỉ có hai từ để diễn tả ""Độc, lạ"" :)))",Good
Bài này hay vl :((,Good
Chắc mv hơi xa so với thị hiếu người Việt tý mà ko sao cố lên nào chị ơi. Khâm phục sự cố gắng của chị,Good
Vũ đạo chất quá :)))),Good
hay mà! ủng hộ,Good
- *_coi đi coi lại vẫn thấy hay_*,Good
Xuất sắc,Good
Nghe cx hay,Good
Chất lượng tốt hơn số lượng 🙂,Good
Hãy cố gắng sửa sai và càng cố gắng hoàn thiện Mv ngày một tốt nha Chi pu,Good
uầy hay thế,Good
Cũng hay mà. Chipu 5ting!,Good
"Nhìn chung bài hay ,nhạc khá bắt tai ,vũ đạo tốt,xem thấy tiếu tiếu thế nào ấy",Good
Wow tuyệt  vời quá,Good
Nói chung là chị có tiến bộ. Yêu chị,Good
Nghe lạ tai ghê thích MV này của chị rất hay. Mong chị sẽ càng thàng công hơn trong con đường sắp tới.,Good
Váy đẹp thật,Good
"Cố lên Chi ơi
Mãi yêu. Mãi ủng hộ chị",Good
Hay quá chị ơi,Good
"Tuyệt chị ơi, em chờ mãi chị",Good
đẹp hút hồn bà con ơi,Good
"Beat chất quá chị ơi
Mãi yêu. Mãi ủng hộ
Cố lên Chi ơi love chị",Good
Hát hay quá chị ơi,Good
Hay quá chi ơi e hóng nãy giờ,Good
Truất quá Chi ơi :v,Good
Giọng hát tiến bộ rõ  rệt... I like,Good
"beat hay,điệu nhảy có thể thành hot trend đấy !!! Ủng hộ Chi Pu",Good
*Cố lên*,Good
Nghe bắt tai ❤,Good
Ủng hộ chị 😋😋,Good
Amazing !!! Chipu ngày càng tiến bộ vượt bậc.,Good
Chi nhảy đẹp quá nè,Good
Nhảy đẹp quá chị ơi 😍😍,Good
Yêu chị quá 💕💕 cố lên nha em ủng hộ chị,Good
Điệu nhảy giải trí vl,Good
Cái bài này hay qtqđ <3,Good
Quá dữ Quá hay :),Good
Nhạc thú vị nhỉ =),Good
Càng ngày càng tiến bộ,Good
Trên cả tuyệt vời,Good
Yêu chị lém,Good
Khá hay ấy chứ #masew,Good
xuất sắc quá tỷ ơi,Good
Nhạc hay !,Good
mãi yêu chị ạ,Good
Yêu chi,Good
"Nghe thích quá, nghe mà nhức nhối trong lòng.",Good
Hay thật đấy ạ 🥺💞,Good
phong cách này hay lắm,Good
Ngưỡng mộ chipu thật. Thương chị trong thời gian bị nhiều người chỉ trích. Chị thật mạnh mẽ ❤❤,Good
Hay quá chi ạ ❤❤❤❤,Good
vẫn được nghe a Thành hát là điều may mắn nhất,Good
Thành Luke có cái tâm hồn và trí tưởng tượng phong phú thật sự =))),Good
"Nhớ những ngày nào chị vẫn là cô gái chạy một mình trên con đường vắng, rồi tình cờ gặp chàng trai, cả hai cùng nắm tay nhau chạy cùng một nhịp vội vã, cứu rỗi nhau khỏi những mặt tối sâu trong tâm hồn. Thì giờ đây vẫn là cô gái ấy- chàng trai ấy, cả hai không còn vội vàng như trước, cùng nhau dạo từng bước nhịp nhàng cười vui vẻ trên những đoạn đường tưởng chừng như là thế giới hạnh phúc của riêng cả hai. Hạnh phúc quá!",Good
Anh đây rồi. Chúc anh sớm có thêm những bài hát tuyệt vời sắp tới nhé. Luôn ủng hộ anh.,Good
"Mình vừa kết thúc câu chuyện tình cảm gần 4 năm qua trong 3 tiếng trước, cảm ơn Mai đã đến kịp lúc và xoa dịu phần nào trái tim mình, cảm ơn 🫶🏻",Good
ohh love u bro !,Good
guitar solo hay quá ạ,Good
"Bài mình thích nhất trong show. Bài mà mọi người giơ điện thoại lên, tay đu đưa. Còn riêng mình thì nhắm mắt và cứ như thả hết hồn vào từng tiếng guitar, từng nhịp trống, từng lời hát. Cảm ơn CHH đã mang đến cho mình những cảm xúc tuyệt vời này.",Good
"Giai điệu này này hay ,vui nhộn",Good
Chi Pu đi trước thời đại ấy nhỉ,Good
Nhớ ĐL nhưng phải hẹn lại 1 thời gian để quay về. 1 tháng mấy ngày xa VN nghe được giai điệu của bạn hình ảnh thân thương của nơi mình iu quá đỗi ngọt. Câu chuyện của bạn hành trình của bạn tôi cảm thấy mọi thứ điều xứng đáng. Chúc mừng bạn,Good
Ủng hộ anh Thành hết mìnhhhh,Good
"Mv và bài hát thật cảm xúc quá, cảm ơn anh đã liên tục ra nhạc như này ❤",Good
"Mãi ủng hộ anh, mãi ủng hộ âm nhạc này!!! ❤",Good
nghe dịu dàng quá anh ạ.,Good
Mình không thích Chipu ,Bad
nhố nhăng ,Bad
Con thiều Bảo Trâm còn thua chipu thấy nhạc như cứt ,Bad
ko thích nghe nhạc trẻ chút nào ,Bad
thảm họa âm nhạc,Bad
Nghe chả hay,Bad
biên đạo xấu dữ :D !!!,Bad
lỗi thời,Bad
Chi Pu live tệ và sản phẩm âm nhạc cũng tệ.,Bad
"Nghe bài này khiến mình nhớ lại thời điểm hơn một năm trước, khi ấy mình và người ấy cãi nhau rồi ng ta đuổi mình đi trong đêm, thu dọn hành lý ra ngoài đường vô định chưa biết đi đâu về đâu... thật sự nghĩ lại khoảng thời gian đó thật tệ!",Bad
5 giờ sáng tôi đang làm gì đây gần 3 tháng thất nghiệp giờ vẫn chưa ngủ và chưa có ai yêu hết.,Bad
"yêu Cá hồi hoang nhưng quay phim khá tệ, vô tình hay cố ý toàn che bạn trống đi mất",Bad
"Bài này khi ngoài trời mưa, đeo tai nghe nằm trong phòng nghe tr ơi nó buồn á :<",Bad
"23:40
Ngồi 1 chỗ đeo tai nghe bật tua lại nghe mỗi 1 bài... Nước mắt rưng rưng cứ chảy ra chẳng thể kìm lại được. Tự hỏi sau bao năm ở đây đã làm được cái gì, có nên rời bỏ hay không ...",Bad
"Bài này có thể sẽ thành thánh ca của những tên trộm: ""em quay ra nhìn chằm chằm chìa khóa xe. Em lấy túi đồ, lấy ví tiền, lấy đồng hồ xem quên gì nữa không?"" =)))))",Bad
"Mình và a ở chung với nhau lúc kẹt dịch, lúc 2 đứa cãi nhau mình muốn rời bỏ đi, và đã đến lúc mình đi, nhìn chăm chăm lại căn phòng đầy ắp kỉ niệm của 2 đứa lần cuối còn vấn vương , 2 đứa bất đồng cãi nhau rất nhiều, lúc đấy mình chỉ muốn rời khỏi căn phòng này càng sớm càng tốt, lúc mình rời đi mình nhìn con mèo lần cuối của bác chủ nhà mà 2 đứa từng rất thương và chăm nó như mèo của 2 đứa, lúc còn ở chung anh thích Cá hồi hoang và cũng mở bài này rất nhiều nhưng mình k để ý lời bài hát cho đến khi mình nhớ a mình mở lại tất cả bài hát a hay nghe và thực sự bài bày chạm đến khoảnh khắc mình rời xa căn phòng đó, 5:am 2 đứa mới ngủ trong khoảng thời gian giãn cách đó, cũng là 5:am nhưng sau vài tháng mình khóc vì mình nhớ anh. 
1902",Bad
"Bây giờ là 3h55 sáng, ngày 8/12/2021.
Sau một đêm thức trắng đúng nghĩa, tôi tìm đến đây. 
Không biết do thuốc tôi uống quá mạnh hay là vì lý do nào khác khiến tôi mệt mỏi nhưng lại không thể nào ngủ được.
Tôi có nên rời khỏi nơi này ?",Bad
Hát như cặc,Bad
Còn tôi thì nhìn e lấy hết mọi thứ rồi em đi ! Mọi thứ đã lâu rồi nhưng nhớ lại như ngày hôm qua,Bad
"Bài hát như viết cho mình vậy. Cảm thấy lạc lõng giữa chốn quen thuộc, muốn đi đến một nơi khác, muốn tìm lại chính mình. Nhưng lại vấn vương chốn cũ, nơi mình từng gắn bó hơn 2 năm này. Nhưng phải bỏ đi thôi!",Bad
bài này nghe xong cảm xúc thấy lẫn lộn quá,Bad
tại sao nhóm mình lại ko cho ra 1 bài nữa anh ko nhạc của em chán vãi ra,Bad
4:59 không ngủ được,Bad
Bài này nghe ngứa vl.,Bad
tự nhiên nhớ lại nhà cũ,Bad
khúc đầu a đạt trông bất cần đời vl:)),Bad
haha. thấy mình đâu đây. ngày ra đi không tiếc nuôi gì chỉ lưu luyến mấy con chó con mèo cứ sợ không ai cho ăn thôi cơ,Bad
Hnay là lần đầu tiên mình mới biết sự có mặt của nhóm Cá Hồi Hoang ^^ Thực sự nghe lần đầu mình vẫn chưa thể thưởng thức nổi... hi vọng lần sau sẽ khác :3,Bad
sao giờ tui mới biết đến Cá Hồi Hoang nhỉ ? hiuhiu,Bad
Em nhớ con mèo nhớ con mèo nhớ con mèo meo meo mèo méo meo😸,Bad
ngu,Bad
Tay Guitar Râu khiếp thật!,Bad
Tội anh đánh trống bị anh guitar che khuất mất tiêu,Bad
Sau nhiều năm thức trắng em quay sang tìm cho mình một nghĩa trang... end song,Bad
"Đêm say chếnh choáng không ngủ được vì nhớ bao nhiêu là thứ, rồi sáng ngủ dậy lại lạnh lùng bỏ đi. Thôi không đáng nữa.",Bad
Bài này là cảnh sống chung chia tay nhỉ? Nghe cảm thấy hơi đau đau,Bad
"Không hiểu sao nghe không được thể loại nhạc như thế này, cứ sao sao ấy...
(Ý kiến cá nhân !)",Bad
"Viết cho tôi à Cá Hồi Hoang 😂
Ở với nhau được vài năm như vợ chồng rồi chia tay,thức trắng đêm tấm trí bần thần, sáng gom đồ đi về trong sự thẫn thờ, đi r luyến tiếc .. Ngoảnh lại nhìn căn phòng, nhớ 2 đứa Bông và Ken 2 đứa từng nuôi ..",Bad
Mình tìm trên soundcloud k thấy huhu,Bad
"Mình có một anh bạn người Myanmar, anh ý đã ở đây được hơn 2 tháng rồi. Vài phút nữa là anh sẽ lên máy bay về nước. Mình vẫn nhớ lần hang out đầu tiên của bọn mình mình đã cho anh ý nghe Tầng Thượng 102, và giờ ảnh cuồng Cá Hồi Hoang kinh khủng luôn ý. 
Chắc tí nữa lên máy bay anh ý sẽ khóc mất, vì anh bảo anh yêu Việt Nam lắm và chả muốn về đâu. Mình chúc anh ý safe flight rồi và chúng mình đã có một lời hứa là sẽ kiếm thật nhiều tiền để anh ý quay trở lại Việt Nam và mình sẽ đến Myanmar vào một ngày không xa.",Bad
Gắt,Bad
nhạc như con cặc ấy mà lúc nào cũng thấy trên spotify,Bad
k nghe được rõ lời.,Bad
Tội nghiệp ông đánh trông. Không thấy mặt,Bad
Mỗi lần buồn đời là nghe,Bad
"Thời gian này chìm trong khủng hoảng công việc cuộc sống tình cảm. Không biết chia sẻ với ai hết. Rồi bỏ cuộc trong tình yêu vì không thể cố gắng được thêm. Nghe bài này tới 2h sáng, rồi chắc tới 5h nữa.",Bad
